date,RM,MP
1926-07-31,0.030873459609495058,0.028559288545113137
1926-08-31,0.02899912000181737,0.026329951535303042
1926-09-30,0.005853480481198936,0.003683586275539108
1926-10-31,-0.029388167811546184,-0.03254159860757211
1926-11-30,0.028958322178756823,0.025756549983589005
1926-12-31,0.02914679964222322,0.026210702143189435
1927-01-31,0.0026854411912411447,0.0001819807565424103
1927-02-28,0.04545731355118554,0.04270632955013243
1927-03-31,0.0036461453640068697,0.0006699296109866637
1927-04-30,0.0075975990891814504,0.0050823571359361885
1927-05-31,0.05722445857397629,0.05406436539053128
1927-06-30,-0.021572243739756858,-0.024017546377541943
1927-07-31,0.07518814760480041,0.07197652669706067
1927-08-31,0.02296897017982036,0.02021280015888438
1927-09-30,0.05061908016486849,0.048523958566159875
1927-10-31,-0.040456921426655135,-0.04285691470479713
1927-11-30,0.06778719339287265,0.06548941389765472
1927-12-31,0.02514771803989957,0.022753831676423975
1928-01-31,-0.0019209008816820639,-0.004413337811862372
1928-02-29,-0.014427946864691288,-0.01759865588579046
1928-03-31,0.09093009276315,0.08770501460795255
1928-04-30,0.044149657261526754,0.04185937211035107
1928-05-31,0.017476662748912686,0.014126781001150501
1928-06-30,-0.04573522297847865,-0.0487136477149378
1928-07-31,0.009026920818014927,0.0057537672664900175
1928-08-31,0.07061737898834064,0.0671626572592352
1928-09-30,0.031426477694756816,0.02871041914501693
1928-10-31,0.018797623103791627,0.014570856320799352
1928-11-30,0.12144476416099415,0.11708972049711242
1928-12-31,0.006744108635150958,0.006240951177470144
1929-01-31,0.0532370952318133,0.04968991505566933
1929-02-28,0.00019882076765997958,-0.0033959487128844
1929-03-31,-0.007263963385572003,-0.010595479092260662
1929-04-30,0.01957760008763554,0.015875444592557963
1929-05-31,-0.06083490809626568,-0.0649874945065605
1929-06-30,0.10143227606024241,0.09568640166732933
1929-07-31,0.04612142747367298,0.042597319739709816
1929-08-31,0.08414286253645331,0.07993546694241416
1929-09-30,-0.04984240796127648,-0.05326453331490255
1929-10-31,-0.1949713045261129,-0.19876598716158667
1929-11-30,-0.12366940657924952,-0.12696987766429713
1929-12-31,0.01517711469129801,0.01137866190746073
1930-01-31,0.05736624819681979,0.05599544726237604
1930-02-28,0.027726929428214753,0.02479518693041527
1930-03-31,0.07506346713070444,0.07144565667878644
1930-04-30,-0.02073863230498796,-0.02285355680114265
1930-05-31,-0.0135052482380692,-0.01597007467325795
1930-06-30,-0.15977608856521175,-0.16210028995135062
1930-07-31,0.040337435717730186,0.038261878250221315
1930-08-31,0.0020338290728172392,0.001032284760237978
1930-09-30,-0.12644713954402786,-0.1284212518029484
1930-10-31,-0.08605174107051083,-0.0867669598065155
1930-11-30,-0.026958819359104158,-0.028302497965648987
1930-12-31,-0.07742056277810017,-0.07862304339748327
1931-01-31,0.06459438982640564,0.06293871520859096
1931-02-28,0.11022497093559602,0.10973886873567995
1931-03-31,-0.06220370943995024,-0.06342516686532218
1931-04-30,-0.10005915251308328,-0.100736786781635
1931-05-31,-0.1346255715689162,-0.135278191615415
1931-06-30,0.14247767989567883,0.1415911521668638
1931-07-31,-0.06672595960523187,-0.06721248208607022
1931-08-31,0.0028839688570831967,0.0026232617288057813
1931-09-30,-0.2918198493021512,-0.29199230661112696
1931-10-31,0.08141736600538407,0.08029593578786742
1931-11-30,-0.0885693421419903,-0.09004182403618544
1931-12-31,-0.13545577348163584,-0.13654246104432888
1932-01-31,-0.009892892892368166,-0.012119723612456057
1932-02-29,0.057605694417824926,0.055180746909532896
1932-03-31,-0.11124305332264428,-0.11263501995811787
1932-04-30,-0.1798499990821063,-0.18070925314291264
1932-05-31,-0.2069563351468766,-0.20735656841685013
1932-06-30,-0.0032189288972743757,-0.0034782017691151745
1932-07-31,0.3407412116631865,0.34042330134394305
1932-08-31,0.37609533943308415,0.3757280403403178
1932-09-30,-0.02861562172151788,-0.028858882164475297
1932-10-31,-0.13309158933065035,-0.1333096515247737
1932-11-30,-0.05872619497522136,-0.0589527279052523
1932-12-31,0.045411989428400856,0.045411989428400856
1933-01-31,0.009871601918509443,0.009871601918509443
1933-02-28,-0.1546312542219247,-0.1544437845483998
1933-03-31,0.03210898543907037,0.03173785394119544
1933-04-30,0.39477164481486127,0.393451176740649
1933-05-31,0.21370064043052972,0.21307424055073154
1933-06-30,0.13168133357436274,0.13138842873566792
1933-07-31,-0.09531819456748036,-0.09553635024489004
1933-08-31,0.12074608958489574,0.12048956712985293
1933-09-30,-0.10584638523119039,-0.10606201292108175
1933-10-31,-0.08366098704120783,-0.08366098704120783
1933-11-30,0.10020071852931456,0.0999377087265263
1933-12-31,0.01782198944209501,0.017567718513628483
1934-01-31,0.12758239744430022,0.12699884437598508
1934-02-28,-0.024221148894199573,-0.02443606038363766
1934-03-31,0.004698100139925998,0.0044369322692636715
1934-04-30,-0.01818077395727924,-0.01818077395727924
1934-05-31,-0.07268140745438356,-0.07268140745438356
1934-06-30,0.025275452185228975,0.025275452185228975
1934-07-31,-0.10936077950793355,-0.10936077950793355
1934-08-31,0.05740620555390041,0.05740620555390041
1934-09-30,-0.002095530490153541,-0.002095530490153541
1934-10-31,-0.018775776956548418,-0.018775776956548418
1934-11-30,0.08259423743770467,0.08259423743770467
1934-12-31,0.004280724004557701,0.004280724004557701
1935-01-31,-0.03345084430153922,-0.033702453798624576
1935-02-28,-0.019618973251143146,-0.019834839638026347
1935-03-31,-0.035706215958840604,-0.035706215958840604
1935-04-30,0.09060320252247767,0.09033151753578039
1935-05-31,0.0339437760648762,0.03367531691496106
