pi,99p,95p,90p
0.1,0.954,0.52,0.335
0.2,1.397,0.744,0.473
0.4,2.098,1.079,0.685
0.6,2.662,1.312,0.791
0.8,2.904,1.467,0.925
1,3.209,1.584,0.984
1.2,3.436,1.724,1.076
1.4,3.611,1.845,1.137
1.6,3.722,1.967,1.208
1.8,3.92,2.084,1.253
2,4.134,2.085,1.28
3,4.769,2.374,1.442
5,5.367,2.685,1.609
